Stand	Schedule	P1_Income	P1_Pine_saw	P1_Pine_pulp	P1_Spruce_saw	P1_Spruce_pulp	P1_Birch_saw	P1_Birch_pulp	P2_Income	P2_Pine_saw	P2_Pine_pulp	P2_Spruce_saw	P2_Spruce_pulp	P2_Birch_saw	P2_Birch_pulp	P3_Income	P3_Pine_saw	P3_Pine_pulp	P3_Spruce_saw	P3_Spruce_pulp	P3_Birch_saw	P3_Birch_pulp	P4_Income	P4_Pine_saw	P4_Pine_pulp	P4_Spruce_saw	P4_Spruce_pulp	P4_Birch_saw	P4_Birch_pulp	P5_Income	P5_Pine_saw	P5_Pine_pulp	P5_Spruce_saw	P5_Spruce_pulp	P5_Birch_saw	P5_Birch_pulp	P6_Income	P6_Pine_saw	P6_Pine_pulp	P6_Spruce_saw	P6_Spruce_pulp	P6_Birch_saw	P6_Birch_pulp	PV_timber	PV_land	Binary
1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14761.9707	460.8495483	1
1	2	11625.05049	56.76756619	11.75707741	112.6127405	17.15380023	1.769489988	27.16186373	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	275.053894	275.053894	1
1	3	0	0	0	0	0	0	0	11761.17001	57.62110215	11.73423562	113.887979	17.42108233	1.823132231	27.18807103	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	275.053894	275.053894	1
1	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11909.66258	58.34987	11.81315088	115.8813014	17.09794723	1.820437436	27.25607296	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	275.053894	275.053894	1
1	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12054.74793	59.2721472	11.7342775	117.5862669	16.95186009	1.819397055	27.33334499	0	0	0	0	0	0	0	0	0	0	0	0	0	0	275.053894	275.053894	1
1	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12430.76619	61.63217721	11.55363499	122.1083932	16.64934884	1.800711853	27.27664596	0	0	0	0	0	0	0	275.053894	275.053894	1
1	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12807.5965	63.8487198	11.57266604	126.6061551	16.42360362	1.780371107	27.22790095	460.8495483	460.8495483	1
2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15553.22168	503.0553894	1
2	2	9353.913027	52.66936399	9.632115188	75.93925822	9.948302037	3.648665394	33.06317812	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	275.053894	275.053894	1
2	3	0	0	0	0	0	0	0	9449.880121	53.41641449	9.32637158	77.24032266	9.767378633	3.631567719	32.97896245	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	275.053894	275.053894	1
